                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.1223,                 1.1425,                 1.2601,                0.79882,                0.69584,                0.77282,                0.49024,                 1.2734,                 1.0461,                 1.1931,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.1192,                 1.1309,                 1.2568,                0.79528,                0.70128,                0.77116,                0.48864,                 1.2748,                 1.0453,                 1.1932,                0.00505,                0.00505,                0.00505
                    102,                 1.1216,                 1.1365,                 1.2526,                0.79992,                0.69903,                0.77285,                0.48734,                 1.2737,                 1.0426,                 1.1928,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.1215,                 1.1409,                 1.2578,                 0.8002,                0.70062,                0.77369,                 0.4885,                 1.2752,                  1.041,                 1.1941,               0.004951,               0.004951,               0.004951
                    104,                  1.099,                 1.1189,                 1.2467,                0.80436,                0.69262,                0.77388,                0.48816,                 1.2784,                 1.0405,                 1.1952,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.1111,                 1.1279,                 1.2507,                0.81097,                0.69487,                0.77447,                0.48925,                 1.2813,                 1.0353,                 1.1966,               0.004852,               0.004852,               0.004852
                    106,                 1.1118,                 1.1291,                 1.2487,                0.81809,                0.69325,                0.77539,                0.48918,                 1.2764,                 1.0399,                 1.1932,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1219,                 1.1282,                 1.2547,                0.81797,                0.69228,                0.77603,                0.49192,                 1.2705,                 1.0381,                 1.1894,               0.004753,               0.004753,               0.004753
                    108,                 1.0973,                 1.1106,                 1.2424,                0.82065,                0.69375,                0.77481,                0.49197,                   1.27,                 1.0376,                 1.1912,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1026,                 1.1153,                  1.244,                0.81477,                0.69488,                 0.7743,                0.49236,                 1.2661,                 1.0395,                 1.1877,               0.004654,               0.004654,               0.004654
                    110,                 1.1026,                 1.1012,                 1.2463,                 0.8145,                0.69938,                0.77385,                 0.4949,                 1.2584,                  1.032,                 1.1857,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0883,                 1.0992,                 1.2399,                0.81175,                0.69693,                0.77408,                 0.4952,                 1.2565,                  1.027,                 1.1851,               0.004555,               0.004555,               0.004555
                    112,                 1.1099,                 1.1116,                 1.2486,                0.80088,                0.70349,                0.77683,                0.50111,                 1.2525,                 1.0218,                 1.1821,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0991,                 1.1108,                 1.2417,                0.78869,                0.71384,                0.77855,                0.50078,                 1.2553,                 1.0206,                 1.1824,               0.004456,               0.004456,               0.004456
                    114,                 1.0963,                 1.1057,                 1.2382,                0.78901,                0.71737,                0.77905,                0.50237,                 1.2516,                 1.0171,                 1.1795,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0935,                 1.0912,                 1.2373,                0.80072,                 0.7055,                0.78024,                 0.5011,                  1.256,                 1.0154,                 1.1832,               0.004357,               0.004357,               0.004357
                    116,                 1.0981,                  1.099,                 1.2376,                0.80991,                0.70541,                0.77874,                0.50127,                 1.2533,                 1.0161,                 1.1812,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0919,                 1.0892,                 1.2392,                0.81164,                0.70352,                0.78089,                0.50293,                 1.2523,                 1.0123,                 1.1807,               0.004258,               0.004258,               0.004258
                    118,                 1.0846,                 1.0877,                 1.2307,                0.80431,                0.71212,                 0.7821,                0.50202,                 1.2558,                 1.0111,                 1.1817,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0866,                 1.0957,                 1.2342,                0.82335,                0.69777,                0.78126,                0.50243,                 1.2569,                 1.0133,                 1.1832,               0.004159,               0.004159,               0.004159
                    120,                 1.0816,                 1.0741,                 1.2285,                0.80892,                 0.7072,                0.78326,                0.50161,                 1.2529,                 1.0105,                 1.1795,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0724,                 1.0727,                 1.2239,                0.81223,                0.71226,                0.78384,                0.50193,                 1.2522,                 1.0074,                 1.1778,                0.00406,                0.00406,                0.00406
                    122,                 1.0773,                 1.0896,                 1.2266,                0.81616,                0.70903,                0.78407,                0.50112,                 1.2551,                 1.0049,                  1.181,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0745,                 1.0818,                 1.2271,                0.81567,                0.70719,                0.78307,                0.50223,                  1.255,                 1.0052,                 1.1802,               0.003961,               0.003961,               0.003961
                    124,                 1.0773,                 1.0702,                 1.2236,                0.81061,                0.71555,                  0.784,                0.50373,                 1.2542,                 1.0024,                 1.1784,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0823,                 1.0766,                 1.2335,                0.81128,                0.71813,                 0.7844,                0.50433,                 1.2557,                 1.0009,                 1.1798,               0.003862,               0.003862,               0.003862
                    126,                 1.0775,                 1.0735,                 1.2287,                0.81653,                0.71231,                0.78574,                0.50582,                 1.2499,                 1.0034,                 1.1762,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0742,                 1.0679,                 1.2273,                0.79988,                0.72184,                0.78616,                0.50534,                 1.2522,                 1.0056,                 1.1785,               0.003763,               0.003763,               0.003763
                    128,                 1.0686,                 1.0726,                  1.224,                0.79689,                0.72257,                0.78543,                0.50588,                 1.2524,                 1.0053,                 1.1774,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0703,                 1.0741,                  1.228,                0.81372,                0.70884,                0.78545,                0.50539,                 1.2525,                 1.0062,                 1.1766,               0.003664,               0.003664,               0.003664
                    130,                 1.0664,                  1.058,                  1.222,                0.81851,                0.71043,                0.78506,                0.50668,                 1.2503,                  1.003,                  1.176,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0605,                 1.0568,                 1.2179,                0.82349,                0.71209,                0.78643,                0.50604,                  1.251,                 1.0005,                 1.1776,               0.003565,               0.003565,               0.003565
                    132,                 1.0675,                 1.0527,                 1.2203,                0.81963,                  0.715,                 0.7876,                0.50696,                 1.2489,                0.99734,                 1.1759,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0631,                 1.0559,                 1.2169,                0.82905,                0.71009,                0.78831,                0.50792,                 1.2488,                0.99613,                 1.1764,               0.003466,               0.003466,               0.003466
                    134,                 1.0591,                 1.0593,                 1.2167,                 0.8327,                0.70669,                0.78819,                0.50747,                 1.2486,                0.99574,                 1.1757,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0581,                  1.054,                 1.2202,                0.82863,                0.70875,                0.78796,                0.50764,                 1.2495,                0.99479,                 1.1773,               0.003367,               0.003367,               0.003367
                    136,                 1.0559,                 1.0371,                 1.2104,                0.82149,                0.71872,                0.78861,                0.50796,                 1.2483,                0.99389,                 1.1768,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0575,                 1.0334,                 1.2081,                0.81759,                0.72044,                0.78883,                0.50908,                 1.2471,                0.99331,                 1.1758,               0.003268,               0.003268,               0.003268
                    138,                 1.0556,                 1.0457,                 1.2129,                0.81061,                 0.7233,                0.78786,                0.51057,                 1.2474,                0.99108,                 1.1754,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0408,                 1.0387,                 1.2084,                0.81284,                0.72416,                 0.7893,                0.51152,                 1.2465,                 0.9901,                 1.1741,               0.003169,               0.003169,               0.003169
                    140,                  1.041,                 1.0347,                 1.2038,                0.81182,                0.72561,                0.78854,                 0.5112,                 1.2479,                 0.9902,                  1.174,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0419,                 1.0331,                 1.2073,                0.81255,                0.72575,                0.78983,                  0.511,                 1.2478,                0.99004,                 1.1732,                0.00307,                0.00307,                0.00307
                    142,                 1.0478,                 1.0263,                 1.2088,                  0.815,                0.72446,                0.78993,                0.51113,                 1.2482,                0.98867,                 1.1732,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0456,                  1.026,                 1.2101,                0.81608,                0.72354,                0.78983,                0.51185,                 1.2469,                0.98701,                 1.1716,               0.002971,               0.002971,               0.002971
                    144,                 1.0472,                 1.0262,                 1.2085,                0.81601,                0.72458,                 0.7903,                0.51163,                 1.2468,                0.98685,                 1.1715,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0389,                 1.0175,                 1.2018,                0.81747,                0.72503,                0.79054,                0.51249,                 1.2452,                0.98598,                 1.1703,               0.002872,               0.002872,               0.002872
                    146,                  1.036,                 1.0308,                 1.2061,                0.81853,                0.72444,                0.79061,                0.51324,                 1.2439,                0.98584,                 1.1697,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.0332,                 1.0085,                 1.1994,                0.81465,                0.72638,                0.78994,                0.51272,                 1.2445,                0.98563,                 1.1702,               0.002773,               0.002773,               0.002773
                    148,                 1.0347,                 1.0269,                 1.2053,                0.81588,                0.72513,                0.79037,                0.51359,                 1.2441,                0.98516,                 1.1707,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0354,                 1.0072,                 1.1992,                0.81021,                0.72845,                0.78959,                0.51322,                 1.2444,                0.98471,                 1.1708,               0.002674,               0.002674,               0.002674
                    150,                 1.0326,                 1.0197,                 1.2007,                0.80958,                0.72989,                0.78988,                0.51305,                 1.2438,                0.98406,                 1.1699,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.0329,                 1.0111,                 1.1948,                0.80839,                0.73186,                0.78964,                0.51274,                 1.2433,                0.98447,                 1.1697,               0.002575,               0.002575,               0.002575
                    152,                 1.0142,                0.98871,                 1.1879,                0.81274,                0.72904,                0.79109,                0.51307,                 1.2427,                0.98381,                 1.1693,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.0267,                  1.007,                 1.1987,                0.80983,                0.73038,                0.79063,                0.51279,                 1.2422,                 0.9831,                 1.1687,               0.002476,               0.002476,               0.002476
                    154,                 1.0172,                 1.0057,                 1.1908,                0.80768,                0.73479,                0.79045,                0.51323,                 1.2407,                0.98257,                 1.1677,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.0228,                 1.0016,                  1.194,                0.80561,                0.73488,                0.79062,                0.51307,                 1.2397,                0.98137,                 1.1671,               0.002377,               0.002377,               0.002377
                    156,                 1.0213,                 1.0043,                  1.195,                0.80523,                0.73698,                0.79089,                 0.5139,                 1.2391,                0.98102,                 1.1669,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.0139,                0.99792,                 1.1919,                0.80496,                0.73665,                0.79055,                0.51415,                  1.239,                0.98039,                 1.1671,               0.002278,               0.002278,               0.002278
                    158,                  1.008,                 0.9807,                  1.189,                0.80495,                0.73754,                0.79102,                0.51442,                 1.2393,                0.98007,                 1.1673,              0.0022285,              0.0022285,              0.0022285
                    159,                  1.011,                0.99186,                 1.1863,                0.80451,                0.73615,                0.79091,                0.51474,                  1.239,                0.97964,                 1.1673,               0.002179,               0.002179,               0.002179
                    160,                 1.0077,                  0.991,                 1.1839,                0.80253,                0.73769,                0.79139,                0.51533,                 1.2394,                0.97907,                 1.1674,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.0081,                0.99734,                  1.185,                0.80628,                0.73634,                0.79203,                0.51532,                 1.2386,                0.97914,                 1.1666,                0.00208,                0.00208,                0.00208
                    162,                 1.0119,                0.98761,                 1.1844,                0.80974,                0.73239,                0.79147,                0.51565,                 1.2385,                0.97854,                 1.1665,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.0048,                0.98798,                 1.1836,                0.80619,                0.73567,                0.79185,                0.51647,                 1.2387,                0.97801,                 1.1668,               0.001981,               0.001981,               0.001981
                    164,                 1.0062,                 0.9813,                 1.1864,                0.80539,                 0.7354,                0.79112,                0.51622,                 1.2384,                0.97781,                 1.1666,              0.0019315,              0.0019315,              0.0019315
                    165,                0.99868,                0.96349,                 1.1804,                0.80609,                0.73454,                 0.7911,                 0.5165,                 1.2386,                0.97701,                 1.1671,               0.001882,               0.001882,               0.001882
                    166,                 1.0038,                0.98352,                 1.1838,                0.80393,                0.73456,                0.79063,                0.51661,                 1.2383,                0.97712,                 1.1669,              0.0018325,              0.0018325,              0.0018325
                    167,                0.99207,                0.96884,                 1.1775,                0.80562,                 0.7325,                0.79042,                0.51636,                 1.2387,                0.97707,                 1.1671,               0.001783,               0.001783,               0.001783
                    168,                0.99859,                0.96444,                 1.1795,                0.80598,                0.73167,                0.79048,                 0.5168,                 1.2387,                0.97723,                 1.1671,              0.0017335,              0.0017335,              0.0017335
                    169,                0.98742,                0.96766,                 1.1776,                0.82438,                0.71933,                0.79056,                 0.5168,                 1.2388,                0.97757,                 1.1674,               0.001684,               0.001684,               0.001684
                    170,                0.99276,                0.96744,                 1.1762,                0.82431,                0.71962,                0.79043,                0.51692,                 1.2388,                0.97793,                 1.1672,              0.0016345,              0.0016345,              0.0016345
                    171,                0.98734,                0.95814,                 1.1712,                0.80548,                0.73428,                0.79088,                0.51702,                 1.2391,                0.97755,                 1.1674,               0.001585,               0.001585,               0.001585
                    172,                0.98814,                0.95878,                 1.1732,                0.81392,                0.73024,                0.79047,                0.51647,                 1.2384,                0.97787,                 1.1666,              0.0015355,              0.0015355,              0.0015355
                    173,                0.98132,                 0.9469,                 1.1714,                0.81634,                0.73069,                0.79111,                0.51654,                 1.2384,                0.97751,                 1.1665,               0.001486,               0.001486,               0.001486
                    174,                0.98853,                0.95079,                 1.1712,                0.81528,                0.73083,                0.79088,                 0.5161,                 1.2384,                0.97746,                 1.1666,              0.0014365,              0.0014365,              0.0014365
                    175,                0.97641,                0.95422,                  1.167,                0.81891,                0.72776,                0.79097,                0.51622,                 1.2389,                 0.9773,                 1.1669,               0.001387,               0.001387,               0.001387
                    176,                0.97427,                0.94225,                 1.1678,                0.81767,                0.72792,                0.79122,                0.51597,                 1.2391,                0.97724,                 1.1671,              0.0013375,              0.0013375,              0.0013375
                    177,                0.97574,                 0.9439,                 1.1728,                0.81816,                0.72578,                 0.7913,                0.51638,                 1.2391,                0.97665,                 1.1671,               0.001288,               0.001288,               0.001288
                    178,                0.97167,                 0.9384,                 1.1663,                0.81872,                0.72768,                0.79131,                0.51618,                 1.2392,                0.97656,                 1.1672,              0.0012385,              0.0012385,              0.0012385
                    179,                0.96666,                0.93095,                 1.1617,                0.81706,                0.72768,                0.79071,                0.51624,                 1.2392,                0.97644,                 1.1675,               0.001189,               0.001189,               0.001189
                    180,                  0.973,                0.94039,                 1.1626,                0.81488,                 0.7294,                0.79131,                0.51623,                 1.2396,                0.97647,                 1.1678,              0.0011395,              0.0011395,              0.0011395
                    181,                0.96084,                0.93161,                 1.1614,                0.81563,                0.73034,                0.79177,                0.51635,                 1.2393,                0.97632,                 1.1675,                0.00109,                0.00109,                0.00109
                    182,                0.97157,                 0.9296,                 1.1663,                0.81369,                0.73113,                0.79203,                0.51655,                 1.2391,                0.97584,                 1.1672,              0.0010405,              0.0010405,              0.0010405
                    183,                 0.9597,                0.93427,                 1.1603,                0.81287,                0.73122,                0.79208,                0.51678,                 1.2391,                0.97582,                 1.1673,               0.000991,               0.000991,               0.000991
                    184,                0.96413,                 0.9327,                 1.1658,                0.81329,                0.73287,                0.79187,                0.51649,                  1.239,                0.97567,                 1.1671,              0.0009415,              0.0009415,              0.0009415
                    185,                0.97607,                0.93115,                 1.1678,                0.81329,                0.73057,                 0.7921,                0.51654,                 1.2389,                 0.9754,                 1.1668,               0.000892,               0.000892,               0.000892
                    186,                0.95747,                0.92254,                 1.1589,                0.81446,                 0.7301,                0.79221,                0.51636,                 1.2391,                0.97531,                 1.1668,              0.0008425,              0.0008425,              0.0008425
                    187,                0.96254,                0.92213,                 1.1594,                0.81431,                0.73026,                0.79238,                0.51643,                 1.2401,                0.97487,                 1.1677,               0.000793,               0.000793,               0.000793
                    188,                0.95922,                0.91196,                 1.1563,                 0.8142,                0.72883,                0.79186,                0.51624,                 1.2403,                 0.9744,                 1.1684,              0.0007435,              0.0007435,              0.0007435
                    189,                0.95673,                0.91629,                 1.1565,                0.81578,                0.72883,                 0.7917,                0.51641,                 1.2403,                 0.9741,                 1.1688,               0.000694,               0.000694,               0.000694
                    190,                0.95255,                0.91354,                 1.1524,                0.81764,                0.72929,                0.79197,                0.51649,                 1.2404,                0.97401,                 1.1689,              0.0006445,              0.0006445,              0.0006445
                    191,                0.96793,                0.77011,                 1.1521,                0.82007,                0.72711,                0.79213,                0.51631,                 1.2405,                0.97392,                 1.1691,               0.000595,               0.000595,               0.000595
                    192,                0.94428,                0.73357,                 1.1351,                0.82118,                0.72738,                0.79204,                0.51684,                 1.2404,                  0.974,                  1.169,              0.0005455,              0.0005455,              0.0005455
                    193,                0.92668,                0.71388,                 1.1316,                0.82068,                0.72767,                0.79217,                0.51745,                 1.2401,                0.97375,                 1.1687,               0.000496,               0.000496,               0.000496
                    194,                0.92706,                0.71246,                 1.1312,                0.82095,                0.72766,                0.79229,                0.51718,                 1.2403,                0.97352,                 1.1686,              0.0004465,              0.0004465,              0.0004465
                    195,                 0.9199,                0.70568,                 1.1248,                0.82105,                0.72736,                0.79176,                0.51739,                 1.2399,                0.97345,                 1.1683,               0.000397,               0.000397,               0.000397
                    196,                0.91523,                0.70694,                 1.1187,                0.82168,                0.72654,                0.79184,                0.51754,                 1.2398,                0.97327,                 1.1685,              0.0003475,              0.0003475,              0.0003475
                    197,                 0.9085,                0.70123,                 1.1158,                0.82283,                0.72874,                0.79211,                0.51767,                 1.2388,                0.97307,                 1.1677,               0.000298,               0.000298,               0.000298
                    198,                 0.9096,                 0.6884,                 1.1197,                0.82283,                 0.7291,                0.79205,                0.51775,                 1.2384,                0.97264,                 1.1674,              0.0002485,              0.0002485,              0.0002485
                    199,                0.91484,                0.70113,                 1.1243,                0.82377,                0.72749,                 0.7922,                0.51825,                  1.238,                0.97195,                 1.1671,               0.000199,               0.000199,               0.000199
                    200,                0.90055,                0.69573,                 1.1149,                0.82418,                0.72822,                 0.7923,                0.51823,                 1.2382,                0.97189,                 1.1671,              0.0001495,              0.0001495,              0.0001495
